question_id,original_answer,final_answer,official_answer_status,official_notice_url
113-2301-001,D,D,official_standard,
113-2301-002,A,A,official_standard,
113-2301-003,D,D,official_standard,
113-2301-004,D,D,official_standard,
113-2301-005,D,D,official_standard,
113-2301-006,A,A,official_standard,
113-2301-007,D,D,official_standard,
113-2301-008,D,D,official_standard,
113-2301-009,D,D,official_standard,
113-2301-010,A,A,official_standard,
113-2301-011,D,D,official_standard,
113-2301-012,B,B,official_standard,
113-2301-013,C,C,official_standard,
113-2301-014,A,A,official_standard,
113-2301-015,D,D,official_standard,
113-2301-016,A,A,official_standard,
113-2301-017,A,A,official_standard,
113-2301-018,A,A,official_standard,
113-2301-019,C,C,official_standard,
113-2301-020,B,B,official_standard,
113-2301-021,A,A,official_standard,
113-2301-022,D,D,official_standard,
113-2301-023,C,C,official_standard,
113-2301-024,C,C,official_standard,
113-2301-025,C,C,official_standard,
113-2301-026,A,A,official_standard,
113-2301-027,B,B,official_standard,
113-2301-028,D,D,official_standard,
113-2301-029,D,D,official_standard,
113-2301-030,D,D,official_standard,
113-2301-031,A,A,official_standard,
113-2301-032,C,C,official_standard,
113-2301-033,A,A,official_standard,
113-2301-034,D,D,official_standard,
113-2301-035,C,C,official_standard,
113-2301-036,D,D,official_standard,
113-2301-037,D,D,official_standard,
113-2301-038,B,B,official_standard,
113-2301-039,D,D,official_standard,
113-2301-040,B,B,official_standard,
113-2301-041,A,A,official_standard,
113-2301-042,C,C,official_standard,
113-2301-043,C,C,official_standard,
113-2301-044,B,B,official_standard,
113-2301-045,C,C,official_standard,
113-2301-046,A,A,official_standard,
113-2301-047,A,A,official_standard,
113-2301-048,D,D,official_standard,
113-2301-049,D,D,official_standard,
113-2301-050,B,B,official_standard,
113-2301-051,D,D,official_standard,
113-2301-052,D,D,official_standard,
113-2301-053,D,D,official_standard,
113-2301-054,B,B,official_standard,
113-2301-055,B,B,official_standard,
113-2301-056,A,A,official_standard,
113-2301-057,B,B,official_standard,
113-2301-058,D,D,official_standard,
113-2301-059,C,C,official_standard,
113-2301-060,C,C,official_standard,
113-2301-061,C,C,official_standard,
113-2301-062,B,B,official_standard,
113-2301-063,B,B,official_standard,
113-2301-064,A,A,official_standard,
113-2301-065,A,A,official_standard,
113-2301-066,B,B,official_standard,
113-2301-067,C,C,official_standard,
113-2301-068,D,D,official_standard,
113-2301-069,D,D,official_standard,
113-2301-070,C,C,official_standard,
113-2301-071,A,A,official_standard,
113-2301-072,B,B,official_standard,
113-2301-073,C,C,official_standard,
113-2301-074,C,C,official_standard,
113-2301-075,A,A,official_standard,
113-3301-001,D,D,official_standard,
113-3301-002,C,C,official_standard,
113-3301-003,C,C,official_standard,
113-3301-004,B,B,official_standard,
113-3301-005,B,B,official_standard,
113-3301-006,A,A,official_standard,
113-3301-007,C,C,official_standard,
113-3301-008,B,B,official_standard,
113-3301-009,C,C,official_standard,
113-3301-010,B,B,official_standard,
113-3301-011,B,B,official_standard,
113-3301-012,B,B,official_standard,
113-3301-013,C,C,official_standard,
113-3301-014,A,A,official_standard,
113-3301-015,C,C,official_standard,
113-3301-016,A,A,official_standard,
113-3301-017,D,D,official_standard,
113-3301-018,B,B,official_standard,
113-3301-019,C,C,official_standard,
113-3301-020,C,C,official_standard,
113-3301-021,B,B,official_standard,
113-3301-022,B,B,official_standard,
113-3301-023,C,C,official_standard,
113-3301-024,D,D,official_standard,
113-3301-025,D,D,official_standard,
113-3301-026,A,A,official_standard,
113-3301-027,A,A,official_standard,
113-3301-028,B,B,official_standard,
113-3301-029,B,B,official_standard,
113-3301-030,C,C,official_standard,
113-3301-031,A,A,official_standard,
113-3301-032,C,C,official_standard,
113-3301-033,A,A,official_standard,
113-3301-034,C,C,official_standard,
113-3301-035,C,C,official_standard,
113-3301-036,D,D,official_standard,
113-3301-037,A,A,official_standard,
113-3301-038,C,C,official_standard,
113-3301-039,C,C,official_standard,
113-3301-040,B,B,official_standard,
113-3301-041,D,D,official_standard,
113-3301-042,B,B,official_standard,
113-3301-043,C,C,official_standard,
113-3301-044,A,A,official_standard,
113-3301-045,A,A,official_standard,
113-3301-046,B,B,official_standard,
113-3301-047,B,B,official_standard,
113-3301-048,B,B,official_standard,
113-3301-049,D,D,official_standard,
113-3301-050,A,A,official_standard,
113-3301-051,C,C,official_standard,
113-3301-052,B,B,official_standard,
113-3301-053,A,A,official_standard,
113-3301-054,D,D,official_standard,
113-3301-055,C,C,official_standard,
113-3301-056,C,C,official_standard,
113-3301-057,D,D,official_standard,
113-3301-058,C,C,official_standard,
113-3301-059,B,B,official_standard,
113-3301-060,D,D,official_standard,
113-3301-061,A,A,official_standard,
113-3301-062,C,C,official_standard,
113-3301-063,A,A,official_standard,
113-3301-064,D,D,official_standard,
113-3301-065,A,A,official_standard,
113-3301-066,D,D,official_standard,
113-3301-067,D,D,official_standard,
113-3301-068,C,C,official_standard,
113-3301-069,B,B,official_standard,
113-3301-070,B,B,official_standard,
113-3301-071,A,A,official_standard,
113-3301-072,A,A,official_standard,
113-3301-073,B,B,official_standard,
113-3301-074,C,C,official_standard,
113-3301-075,C,C,official_standard,
113-3301-076,A,A,official_standard,
113-3301-077,D,D,official_standard,
113-3301-078,C,C,official_standard,
113-3301-079,B,B,official_standard,
113-3301-080,B,B,official_standard,
113-4301-001,B,B,official_standard,
113-4301-002,C,C,official_standard,
113-4301-003,D,D,official_standard,
113-4301-004,A,A,official_standard,
113-4301-005,D,D,official_standard,
113-4301-006,C,C,official_standard,
113-4301-007,B,B,official_standard,
113-4301-008,C,C,official_standard,
113-4301-009,D,D,official_standard,
113-4301-010,B,B,official_standard,
113-4301-011,B,B,official_standard,
113-4301-012,C,C,official_standard,
113-4301-013,D,D,official_standard,
113-4301-014,D,D,official_standard,
113-4301-015,A,A,official_standard,
113-4301-016,D,D,official_standard,
113-4301-017,B,B,official_standard,
113-4301-018,D,D,official_standard,
113-4301-019,C,C,official_standard,
113-4301-020,D,D,official_standard,
113-4301-021,B,B,official_standard,
113-4301-022,A,A,official_standard,
113-4301-023,A,A,official_standard,
113-4301-024,C,C,official_standard,
113-4301-025,B,B,official_standard,
113-4301-026,A,A,official_standard,
113-4301-027,D,D,official_standard,
113-4301-028,D,D,official_standard,
113-4301-029,B,B,official_standard,
113-4301-030,D,D,official_standard,
113-4301-031,A,A,official_standard,
113-4301-032,C,C,official_standard,
113-4301-033,D,D,official_standard,
113-4301-034,D,D,official_standard,
113-4301-035,C,C,official_standard,
113-4301-036,C,C,official_standard,
113-4301-037,D,D,official_standard,
113-4301-038,C,C,official_standard,
113-4301-039,A,A,official_standard,
113-4301-040,C,C,official_standard,
113-4301-041,B,B,official_standard,
113-4301-042,C,C,official_standard,
113-4301-043,C,C,official_standard,
113-4301-044,B,B,official_standard,
113-4301-045,A,A,official_standard,
113-4301-046,C,C,official_standard,
113-4301-047,C,C,official_standard,
113-4301-048,A,A,official_standard,
113-4301-049,B,B,official_standard,
113-4301-050,A,A,official_standard,
113-4301-051,D,D,official_standard,
113-4301-052,C,C,official_standard,
113-4301-053,B,B,official_standard,
113-4301-054,D,D,official_standard,
113-4301-055,D,D,official_standard,
113-4301-056,C,C,official_standard,
113-4301-057,C,C,official_standard,
113-4301-058,D,D,official_standard,
113-4301-059,B,B,official_standard,
113-4301-060,B,B,official_standard,
113-4301-061,A,A,official_standard,
113-4301-062,D,D,official_standard,
113-4301-063,D,D,official_standard,
113-4301-064,C,C,official_standard,
113-4301-065,D,D,official_standard,
113-4301-066,B,B,official_standard,
113-4301-067,C,C,official_standard,
113-4301-068,C,C,official_standard,
113-4301-069,B,B,official_standard,
113-4301-070,C,C,official_standard,
113-1301-001,A,A,official_standard,
113-1301-002,A,A,official_standard,
113-1301-003,D,D,official_standard,
113-1301-004,B,B,official_standard,
113-1301-005,C,C,official_standard,
113-1301-006,C,C,official_standard,
113-1301-007,A,A,official_standard,
113-1301-008,D,D,official_standard,
113-1301-009,B,B,official_standard,
113-1301-010,A,A,official_standard,
113-1301-011,A,A,official_standard,
113-1301-012,C,C,official_standard,
113-1301-013,B,B,official_standard,
113-1301-014,C,C,official_standard,
113-1301-015,C,C,official_standard,
113-1301-016,C,C,official_standard,
113-1301-017,D,D,official_standard,
113-1301-018,C,C,official_standard,
113-1301-019,A,A,official_standard,
113-1301-020,B,B,official_standard,
113-1301-021,D,D,official_standard,
113-1301-022,D,D,official_standard,
113-1301-023,B,B,official_standard,
113-1301-024,D,D,official_standard,
113-1301-025,A,A,official_standard,
113-1301-026,C,C,official_standard,
113-1301-027,C,C,official_standard,
113-1301-028,B,B,official_standard,
113-1301-029,C,C,official_standard,
113-1301-030,C,C,official_standard,
113-1301-031,A,A,official_standard,
113-1301-032,B,B,official_standard,
113-1301-033,D,D,official_standard,
113-1301-034,C,C,official_standard,
113-1301-035,B,B,official_standard,
113-1301-036,D,D,official_standard,
113-1301-037,A,A,official_standard,
113-1301-038,A,A,official_standard,
113-1301-039,C,C,official_standard,
113-1301-040,D,D,official_standard,
113-1301-041,B,B,official_standard,
113-1301-042,C,C,official_standard,
113-1301-043,A,A,official_standard,
113-1301-044,C,C,official_standard,
113-1301-045,D,D,official_standard,
113-1301-046,B,B,official_standard,
113-1301-047,C,C,official_standard,
113-1301-048,B,B,official_standard,
113-1301-049,B,B,official_standard,
113-1301-050,C,C,official_standard,
113-1301-051,B,B,official_standard,
113-1301-052,A,A,official_standard,
113-1301-053,A,A,official_standard,
113-1301-054,B,B,official_standard,
113-1301-055,C,C,official_standard,
113-1301-056,C,C,official_standard,
113-1301-057,D,D,official_standard,
113-1301-058,B,B,official_standard,
113-1301-059,D,D,official_standard,
113-1301-060,B,B,official_standard,
113-1301-061,C,C,official_standard,
113-1301-062,B,B,official_standard,
113-1301-063,C,C,official_standard,
113-1301-064,C,C,official_standard,
113-1301-065,D,D,official_standard,
